"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"72","2_177_2",0,0.0448149123492254,0.047927407763376,0.047927407763376,0.435841017752378,0.610217540677882,0.915908115513354,0.260587290507049,0.260912935650707,0.182738464155615,0.938304955726233,0.233020786469743,0.231677037822023,0.955423119319191,0.383180077346713,0.887400484459104,0.573760261888653,0.451578380256049,0.0446317047831002,0.475901842809627,0.576052679466262,0.0763383231096318,4,54,FALSE
"73","2_177_10",0,0.0512037281665894,0.0474447708317026,0.0474447708317026,0.896468702098392,0.51390583943776,0.921727226403669,0.213712882138823,0.139094252462269,0.190209391355978,0.880166874193521,0.790823953585651,0.147035269276098,0.356355004022123,0.466011672166692,0.717279352726133,0.776662164606421,0.338752406199123,0.195493016451748,0.545774861716082,0.315031714258102,0.134227363347169,2,20,FALSE
"74","2_179_1",0,0.0493194805673561,0.0479518690689774,0.0479518690689774,0.355469713778151,0.627800897999806,0.813473780084334,0.322403652019623,0.431007887447167,0.253187105555682,0.805967493760985,0.725127725732427,0.249551372211666,0.54971453624319,0.802076694975503,0.731941118827866,0.406715603225727,0.598786753479867,0.341739424594005,0.445090459508392,0.385370835526567,0.105797057731426,4,54,FALSE
"75","2_179_9",0,0.03039214969144,0.0489247341145368,0.0489247341145368,0.113493463465454,0.472122897500556,0.817324874438528,0.280405255303904,0.211694738524102,0.202380150470871,0.906233447865235,0.516648325597919,0.232063081396803,0.887226246331081,0.371174465266333,0.666157372298829,0.448293207601607,0.281198855133055,0.297087236678132,0.445501687519814,0.450197940261159,0.122816728948881,4,54,FALSE
"76","2_180_9",0,0.0184888314050662,0.0500182382027855,0.0500182382027855,0.033108835460372,0.583719907565251,0.505729049565431,0.339888906654933,0.0510302271591066,0.0425746802515864,0.891147895442572,0.350331944611279,0.494177417940246,0.860884140464225,0.909229651751856,0.952783718094727,0.485635963473248,0.110734403608964,0.113095778041411,0.985201931751871,0.703517283209131,0.0143888603245252,4,54,FALSE
"77","2_181_3",0,0.0544104816005893,0.0471767795011166,0.0471767795011166,0.426324382180009,0.413331678166831,0.812026504619282,0.1955916316944,0.532615190722489,0.188696079110344,0.754112476908049,0.312990755342697,0.194297922538056,0.622897875619042,0.511046083086148,0.797809253320566,0.746944487747827,0.667913734374298,0.144853315364605,0.458147786264061,0.412311597764475,0.0962680363567916,4,54,FALSE
"78","2_181_5",0,0.0813032547607648,0.0472978767946866,0.0472978767946866,0.866002100030443,0.45671291254629,0.534032084619294,0.139645704897325,0.388681930119709,0.266272262397332,0.817132783157108,1,0.400607578868048,0.314379986781783,0.980164208394167,0.979636057115036,0.840992697881889,0.317200136273197,0.111865200688745,0.734071565465917,0.402577820193773,0.0783621616902057,2,20,FALSE
"79","2_181_9",0,0.0426565377980024,0.0477904826868387,0.0477904826868387,0.918084105276521,0.534049425597838,0.760133333407299,0.372231386013571,0.431007887447167,0.253187105555682,0.805967493760985,0.996467754029479,0.109149994630576,0.752508802128181,0.843882096411204,0.731941118827866,0.863464149105304,0.496134112793346,0.0944077584926829,0.426758032530076,0.385370835526567,0.105797057731426,2,20,TRUE
"80","2_182_8",0,0.0433306186143258,0.0478805171153507,0.0478805171153507,0.478145610608762,0.555354067705399,0.726647866988365,0.152717987372726,0.263960067601223,0.287540569683006,0.848263503394504,0.670980301184121,0.0768730787907018,0.765714742275947,0.644008761789896,0.798036000082046,0.399315232285065,0.315992266670298,0.322078067202498,0.510741642149057,0.178470688252685,0.150150311891606,4,54,FALSE
"81","2_182_9",0,0.154823074150528,0.0466579712040292,0.0466579712040292,0.703144977715603,0.494027673074571,0.907875745730023,0.210287496496529,0.190682932845656,0.161389660126876,0.936410616881397,0.9492509404468,0.231105096191948,0.347831004847277,0.661649583956996,0.845524464842892,0.733384316950196,0.348572089773489,0.0923144733217963,0.610104545584185,0.806537025683869,0.0473015658763426,2,20,FALSE
